1, Coral Reefs, 29, Northern Salado, Rubber fig Salix caprea Adansonia digitata Quercus serrata Neem Tree Black locust, Mount Morgan, Hidden Lakes Circle C Dam Faucherie Lake Granite Lakes
2, Natural Grasslands, 34, Murrumbidgee River, Nutmeg Adansonia digitata Coconut English walnut Coast redwood Tree of heaven European beech Tasmanian blue gum Tilia cordata, Sunshine Peak, Echo Lake Shallow Lake Donner Euer Valley Meysan Lake
3, Greenhouse Ecosystems, 47, Tocantins–Araguaia, English walnut Coast redwood Quercus ilex Breadfruit Curry tree European ash Black locust Nutmeg Curry tree Weeping willow Salix caprea Salix caprea, Crestone Peak, Hilton Lake #1 (Davis) Desolation Lake Paradise Lake Big Bear Lake Wonder Lakes
4, Tropical Rain Forest Ecosystems, 44, Indigirka, Tree of heaven Pistachio Cacao tree Rubber fig Ginkgo Blue spruce Eastern black walnut Blue spruce European beech Indian gooseberry Tree of heaven, Regal Mountain, Marsh Lake Whisky Lake Onion Lake Lake Of The Island Pinecrest Lake
5, Managed Aquatic Ecosystems, 56, Essequibo, Quercus ilex European beech Silver birch Weeping willow True cinnamon tree Nutmeg Magnolia kobus Salix caprea Curry tree, Mount Silverthrone, Jacks Lake Devils Punchbowl Copperopolis Reservoir
6, Polar and Alpine Tundra, 37, Bermejo, Pecan Clove Silver birch Bristlecone pine Tilia cordata Tea plant Tree of heaven Southern magnolia Quercus serrata Pistachio Quercus ilex, Mount Cook, Lake Naz Lake Ellen Blue Lake San Elijo Lagoon Fowler Lake Shell Lake
7, Mires: Swamp, Bog, Fen, and Moor, 8, Pilcomayo, Pistachio Bristlecone pine Quercus serrata Ginkgo Southern magnolia Quercus acutissima European beech European beech Pecan European beech Quercus acutissima, Capitol Peak, Sheep Camp Lakes Timberline Lake Lake Ethel
8, Hot Deserts and Arid Shrublands, 26, (Zambesi), Magnolia kobus Bristlecone pine Magnolia kobus Pistachio Bay laurel Curry tree Eastern black walnut Magnolia kobus Magnolia kobus Weeping willow Nutmeg Ginkgo Southern magnolia, Regal Mountain, Duck Lake Cherokee Dam Bluff Lake
9, Intertidal and Littoral Ecosystems, 41, Nile – Kagera, Bay laurel Tasmanian blue gum White oak Banyan Nutmeg European ash European ash Tasmanian blue gum Blue spruce American sycamore Tilia cordata Camphor tree Curry tree, Mount Bona, Channel Lake Small Twin Lake Sawmill Pond Catfish Lake
10, Hot Deserts and Arid Shrublands, 3, Lena, Coconut Pistachio Pistachio Pará rubber tree Pecan Black locust Banyan English oak Tasmanian blue gum Quercus acutissima English oak Coconut English oak, Grand Teton, Chain Lakes Grouse Lake Horton Lake Beyers Lake, Lower
11, Managed Grasslands, 1, Indus, Black locust True cinnamon tree Pistachio Nutmeg Blue spruce Southern magnolia Star magnolia Camphor tree Southern magnolia Tree of heaven, Mount Silverthrone, Durbin Lake Campbell Lake Chalfant Lakes Laurel Lakes Warren Lake Upper Horton Lakes
